WAGE	AGE	AGE2	AGEW	AGEY	CHILDREN	DEGREEW	FEDUCA	FEDUCH	GRADCOLLW	GRADHS	GRADHSW	HAPPINESS	MARRIED	MEDUCA	MEDUCH	SEX	YEARSCOLL	STATE	GRADCOLL	DEGREE
60	43	1849	40	12	2	2	0	8	1	1	1	1	1	0	6	1	3	6	5	0
31.25	31	961	0	0	0	0	20	0	0	1	0	2	2	20	0	2	5	6	1	2
14.52000046	44	1936	38	15	2	0	0	3	0	3	1	1	4	0	3	1	0	47	0	0
18.25	43	1849	46	0	0	0	0	4	0	1	1	3	2	0	4	1	1	39	5	0
28	56	3136	0	0	0	0	0	4	0	1	0	2	4	0	5	1	0	39	0	0
8.25	29	841	0	8	2	0	0	6	0	1	0	3	2	0	4	2	0	48	0	0
16	50	2500	50	0	0	0	0	4	5	1	1	3	1	0	4	1	3	48	5	0
14	54	2916	57	0	0	0	0	2	0	1	1	3	1	0	2	1	0	19	0	0
10	56	3136	0	0	0	0	0	6	0	1	0	3	4	0	4	1	2	45	5	0
10	19	361	0	0	0	0	0	4	0	2	0	1	2	0	4	1	0	12	0	0
7.800000191	19	361	0	0	0	0	0	8	0	1	0	1	2	0	3	1	0	48	0	0
11	29	841	30	1	5	0	0	4	5	3	1	2	4	0	4	1	0	26	0	0
23	52	2704	51	0	0	0	0	3	0	1	1	2	1	0	3	1	0	27	0	0
43.65000153	33	1089	29	2	1	2	0	6	1	1	1	2	1	0	6	1	4	6	1	2
13.5	47	2209	49	14	1	1	0	4	1	1	1	1	1	0	7	1	1	17	5	0
37.56000137	52	2704	0	0	0	0	0	8	0	1	0	4	2	0	7	1	5	21	1	5
32.29000092	48	2304	50	12	2	1	0	3	1	1	1	2	1	0	4	1	2	41	1	1
21.46999931	41	1681	37	0	0	0	0	3	0	1	1	2	1	0	4	1	0	5	0	0
7.75	73	5329	68	0	0	0	0	1	0	1	3	2	1	0	3	1	0	48	0	0
15.5	54	2916	0	4	3	0	0	6	0	2	0	2	4	0	5	2	2	6	5	0
13	38	1444	0	0	0	0	0	4	0	1	0	3	2	0	5	2	0	37	0	0
7.900000095	77	5929	0	0	0	0	6	0	0	2	0	0	3	6	0	1	0	13	0	0
21	37	1369	0	0	0	0	0	4	0	1	0	3	4	0	4	1	0	4	0	0
27.48999977	43	1849	34	5	1	0	0	4	5	1	1	3	1	0	6	1	0	41	0	0
18.62999916	32	1024	31	11	2	1	0	0	1	1	1	1	1	0	0	1	0	56	0	0
29	34	1156	34	0	0	2	0	7	1	1	1	2	1	0	6	1	3	6	5	0
12	66	4356	0	0	0	0	0	4	0	1	0	2	4	0	5	2	2	19	1	1
10	40	1600	38	0	0	2	0	8	1	1	1	2	1	0	8	1	3	17	5	0
10	67	4489	66	0	0	0	0	4	0	1	1	1	1	0	4	1	1	17	5	0
14.69999981	34	1156	0	13	1	0	0	7	0	1	0	2	2	0	4	2	0	22	0	0
28	30	900	0	0	0	0	16	0	0	1	0	2	2	12	0	2	4	6	1	2
15.39999962	40	1600	45	0	0	0	0	0	0	3	2	1	1	0	0	1	0	40	0	0
12.86999989	54	2916	0	0	0	0	7	0	0	0	0	3	4	7	0	2	0	8	0	0
20	27	729	33	4	1	0	0	4	0	1	2	2	1	0	3	1	0	18	0	0
22	56	3136	0	0	0	0	0	4	0	1	0	3	2	0	4	1	2	36	5	0
13	44	1936	38	7	1	0	0	3	0	3	3	1	1	0	3	1	0	45	0	0
16.75	62	3844	61	0	0	2	0	3	1	1	1	2	1	0	3	1	0	48	0	0
29.04000092	39	1521	40	14	1	0	0	4	0	1	1	2	1	0	4	1	0	41	0	0
15	23	529	28	1	2	2	0	4	1	1	1	2	1	0	4	1	0	13	0	0
30	49	2401	47	0	0	0	0	8	0	1	1	2	1	0	4	1	0	39	0	0
11.75	32	1024	31	10	2	1	0	4	1	1	2	2	1	0	4	1	0	36	0	0
21	29	841	29	1	2	2	0	3	1	1	1	2	1	0	4	1	4	46	5	0
14	30	900	28	1	2	2	0	4	1	1	1	2	1	0	7	1	4	18	1	2
8.699999809	28	784	0	0	0	0	0	5	0	1	0	2	2	0	4	2	0	6	0	0
14	44	1936	44	6	3	2	0	3	1	1	1	3	1	0	3	1	0	48	0	0
14	42	1764	46	0	0	0	0	4	0	3	1	3	1	0	4	1	0	11	0	0
10	26	676	0	1	3	0	0	4	0	1	0	2	5	0	4	2	0	13	0	0
20.72999954	27	729	25	0	0	2	0	4	1	1	1	2	1	0	5	1	3	19	1	1
8	23	529	0	0	0	0	0	7	0	1	0	2	2	0	6	2	4	6	1	2
23.07999992	22	484	0	0	0	0	0	6	0	1	0	1	2	0	5	1	1	37	5	0
13.10000038	30	900	29	6	2	0	0	6	5	1	1	3	1	0	4	1	0	6	0	0
17.81999969	34	1156	46	0	0	2	0	3	1	1	1	4	4	0	3	1	0	5	0	0
9.340000153	30	900	0	1	3	0	0	4	0	1	0	3	2	0	6	2	0	36	0	0
28	52	2704	50	0	0	0	0	4	0	1	1	2	1	0	4	1	0	39	0	0
23.26000023	48	2304	0	0	0	0	0	4	0	1	0	3	4	0	2	2	0	36	0	0
10.5	31	961	33	1	1	0	0	4	0	2	1	2	1	0	4	1	0	39	0	0
11.85000038	45	2025	0	0	0	0	0	0	0	2	0	4	4	0	0	2	0	39	0	0
14	53	2809	53	0	0	0	0	5	0	2	1	2	1	0	3	1	0	49	0	0
7.150000095	21	441	0	0	0	0	0	4	0	1	0	3	2	0	8	2	0	37	0	0
